Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ANDREIS,258,184,13,26,PORDENONE
ARBA,1144,756,33,66,PORDENONE
ARZENE,1597,762,8,35,PORDENONE
AVIANO,7542,3894,33,147,PORDENONE
AZZANO DECIMO,13045,6911,66,258,PORDENONE
BARCIS,266,119,0,8,PORDENONE
BRUGNERA,7414,5148,123,297,PORDENONE
BUDOIA,2099,1429,25,89,PORDENONE
CANEVA,6475,2943,17,93,PORDENONE
CASARSA DELLA DELIZIA,7249,3620,34,153,PORDENONE
CASTELNOVO DEL FRIULI,1025,368,1,9,PORDENONE
CAVASSO NUOVO,1522,877,18,67,PORDENONE
CHIONS,4285,2837,96,198,PORDENONE
CIMOLAIS,405,175,5,15,PORDENONE
CLAUT,879,374,5,11,PORDENONE
CLAUZETTO,555,155,1,5,PORDENONE
CORDENONS,15993,8878,49,292,PORDENONE
CORDOVADO,2289,1598,67,128,PORDENONE
ERTO E CASSO,429,151,1,12,PORDENONE
FANNA,1468,910,33,80,PORDENONE
FIUME VENETO,9874,5211,35,196,PORDENONE
FONTANAFREDDA,9976,6585,156,378,PORDENONE
FRISANCO,926,375,13,39,PORDENONE
MANIAGO,9526,4843,31,231,PORDENONE
MEDUNO,1444,1042,26,65,PORDENONE
MONTEREALE VALCELLINA,3810,2178,17,92,PORDENONE
MORSANO AL TAGLIAMENTO,2725,1681,68,148,PORDENONE
PASIANO DI PORDENONE,6324,4335,140,290,PORDENONE
PINZANO AL TAGLIAMENTO,1320,651,7,36,PORDENONE
POLCENIGO,3081,1483,16,55,PORDENONE
PORCIA,12575,8571,114,431,PORDENONE
PORDENONE,39238,22946,125,568,PORDENONE
PRATA DI PORDENONE,6551,3537,27,135,PORDENONE
PRAVISDOMINI,2626,1251,6,52,PORDENONE
ROVEREDO IN PIANO,4803,3521,56,183,PORDENONE
SACILE,16128,10738,206,531,PORDENONE
SAN GIORGIO DELLA RICHINVELDA,4361,1929,17,71,PORDENONE
SAN MARTINO AL TAGLIAMENTO,1443,895,36,58,PORDENONE
SAN QUIRINO,3772,2150,10,63,PORDENONE
SAN VITO AL TAGLIAMENTO,12868,6655,50,243,PORDENONE
SEQUALS,1937,983,8,45,PORDENONE
SESTO AL REGHENA,5623,3695,127,293,PORDENONE
SPILIMBERGO,9795,5094,30,159,PORDENONE
TRAMONTI DI SOPRA,531,270,21,28,PORDENONE
TRAMONTI DI SOTTO,441,300,9,15,PORDENONE
TRAVESIO,1745,742,6,32,PORDENONE
VAJONT,1188,594,3,24,PORDENONE
VALVASONE,2153,1332,45,88,PORDENONE
VITO D'ASIO,1106,365,3,14,PORDENONE
VIVARO,1194,842,33,62,PORDENONE
ZOPPOLA,7770,3731,21,139,PORDENONE
