Ente,Liste/Gruppi,Voti,nomefile
CAMPOCHIARO,PARTITO DEMOCRATICO,37,CAMPOBASSO
CAMPOCHIARO,NUOVO CENTRO DESTRA - UDC,20,CAMPOBASSO
CAMPOCHIARO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,7,CAMPOBASSO
CAMPOCHIARO,L'ALTRA EUROPA CON TSIPRAS,5,CAMPOBASSO
CAMPOCHIARO,SCELTA EUROPEA,1,CAMPOBASSO
CAMPOCHIARO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,CAMPOBASSO
CAMPOCHIARO,ITALIA DEI VALORI,0,CAMPOBASSO
CAMPOCHIARO,IO CAMBIO - MAIE,0,CAMPOBASSO
CAMPOCHIARO,VERDI EUROPEI-GREEN ITALIA,0,CAMPOBASSO
CAMPODIPIETRA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,498,CAMPOBASSO
CAMPODIPIETRA,FORZA ITALIA,415,CAMPOBASSO
CAMPODIPIETRA,PARTITO DEMOCRATICO,310,CAMPOBASSO
CAMPODIPIETRA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,55,CAMPOBASSO
CAMPODIPIETRA,ITALIA DEI VALORI,51,CAMPOBASSO
CAMPODIPIETRA,L'ALTRA EUROPA CON TSIPRAS,50,CAMPOBASSO
CAMPODIPIETRA,NUOVO CENTRO DESTRA - UDC,38,CAMPOBASSO
CAMPODIPIETRA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,15,CAMPOBASSO
CAMPODIPIETRA,SCELTA EUROPEA,11,CAMPOBASSO
CAMPODIPIETRA,VERDI EUROPEI-GREEN ITALIA,7,CAMPOBASSO
CAMPODIPIETRA,IO CAMBIO - MAIE,6,CAMPOBASSO
CAMPOLIETO,PARTITO DEMOCRATICO,116,CAMPOBASSO
CAMPOLIETO,FORZA ITALIA,58,CAMPOBASSO
CAMPOLIETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,45,CAMPOBASSO
CAMPOLIETO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,21,CAMPOBASSO
CAMPOLIETO,L'ALTRA EUROPA CON TSIPRAS,19,CAMPOBASSO
CAMPOLIETO,NUOVO CENTRO DESTRA - UDC,4,CAMPOBASSO
CAMPOLIETO,ITALIA DEI VALORI,3,CAMPOBASSO
CAMPOLIETO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,2,CAMPOBASSO
CAMPOLIETO,SCELTA EUROPEA,1,CAMPOBASSO
CAMPOLIETO,IO CAMBIO - MAIE,0,CAMPOBASSO
CAMPOLIETO,VERDI EUROPEI-GREEN ITALIA,0,CAMPOBASSO
CAMPOMARINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1427,CAMPOBASSO
CAMPOMARINO,PARTITO DEMOCRATICO,1268,CAMPOBASSO
CAMPOMARINO,FORZA ITALIA,906,CAMPOBASSO
CAMPOMARINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,155,CAMPOBASSO
CAMPOMARINO,NUOVO CENTRO DESTRA - UDC,143,CAMPOBASSO
CAMPOMARINO,L'ALTRA EUROPA CON TSIPRAS,89,CAMPOBASSO
CAMPOMARINO,ITALIA DEI VALORI,80,CAMPOBASSO
CAMPOMARINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,57,CAMPOBASSO
CAMPOMARINO,SCELTA EUROPEA,27,CAMPOBASSO
CAMPOMARINO,VERDI EUROPEI-GREEN ITALIA,23,CAMPOBASSO
CAMPOMARINO,IO CAMBIO - MAIE,14,CAMPOBASSO
CASACALENDA,PARTITO DEMOCRATICO,367,CAMPOBASSO
CASACALENDA,FORZA ITALIA,254,CAMPOBASSO
CASACALENDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,226,CAMPOBASSO
CASACALENDA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,121,CAMPOBASSO
CASACALENDA,L'ALTRA EUROPA CON TSIPRAS,51,CAMPOBASSO
CASACALENDA,NUOVO CENTRO DESTRA - UDC,50,CAMPOBASSO
CASACALENDA,ITALIA DEI VALORI,40,CAMPOBASSO
CASACALENDA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,22,CAMPOBASSO
CASACALENDA,VERDI EUROPEI-GREEN ITALIA,20,CAMPOBASSO
CASACALENDA,SCELTA EUROPEA,10,CAMPOBASSO
CASACALENDA,IO CAMBIO - MAIE,2,CAMPOBASSO
CASALCIPRANO,FORZA ITALIA,63,CAMPOBASSO
CASALCIPRANO,PARTITO DEMOCRATICO,45,CAMPOBASSO
CASALCIPRANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,28,CAMPOBASSO
CASALCIPRANO,ITALIA DEI VALORI,4,CAMPOBASSO
CASALCIPRANO,L'ALTRA EUROPA CON TSIPRAS,3,CAMPOBASSO
CASALCIPRANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,3,CAMPOBASSO
CASALCIPRANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,2,CAMPOBASSO
CASALCIPRANO,NUOVO CENTRO DESTRA - UDC,1,CAMPOBASSO
CASALCIPRANO,VERDI EUROPEI-GREEN ITALIA,0,CAMPOBASSO
CASALCIPRANO,SCELTA EUROPEA,0,CAMPOBASSO
CASALCIPRANO,IO CAMBIO - MAIE,0,CAMPOBASSO
CASTELBOTTACCIO,PARTITO DEMOCRATICO,48,CAMPOBASSO
CASTELBOTTACCIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,29,CAMPOBASSO
CASTELBOTTACCIO,L'ALTRA EUROPA CON TSIPRAS,26,CAMPOBASSO
CASTELBOTTACCIO,FORZA ITALIA,13,CAMPOBASSO
CASTELBOTTACCIO,ITALIA DEI VALORI,3,CAMPOBASSO
CASTELBOTTACCIO,NUOVO CENTRO DESTRA - UDC,3,CAMPOBASSO
CASTELBOTTACCIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,3,CAMPOBASSO
CASTELBOTTACCIO,VERDI EUROPEI-GREEN ITALIA,1,CAMPOBASSO
CASTELBOTTACCIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,CAMPOBASSO
CASTELBOTTACCIO,IO CAMBIO - MAIE,1,CAMPOBASSO
CASTELBOTTACCIO,SCELTA EUROPEA,0,CAMPOBASSO
CASTELLINO DEL BIFERNO,PARTITO DEMOCRATICO,119,CAMPOBASSO
CASTELLINO DEL BIFERNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,39,CAMPOBASSO
CASTELLINO DEL BIFERNO,FORZA ITALIA,32,CAMPOBASSO
CASTELLINO DEL BIFERNO,L'ALTRA EUROPA CON TSIPRAS,7,CAMPOBASSO
CASTELLINO DEL BIFERNO,NUOVO CENTRO DESTRA - UDC,6,CAMPOBASSO
CASTELLINO DEL BIFERNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,1,CAMPOBASSO
CASTELLINO DEL BIFERNO,IO CAMBIO - MAIE,0,CAMPOBASSO
CASTELLINO DEL BIFERNO,ITALIA DEI VALORI,0,CAMPOBASSO
CASTELLINO DEL BIFERNO,VERDI EUROPEI-GREEN ITALIA,0,CAMPOBASSO
CASTELLINO DEL BIFERNO,SCELTA EUROPEA,0,CAMPOBASSO
CASTELLINO DEL BIFERNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,0,CAMPOBASSO
CASTELMAURO,PARTITO DEMOCRATICO,219,CAMPOBASSO
CASTELMAURO,FORZA ITALIA,218,CAMPOBASSO
CASTELMAURO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,168,CAMPOBASSO
CASTELMAURO,NUOVO CENTRO DESTRA - UDC,63,CAMPOBASSO
CASTELMAURO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,30,CAMPOBASSO
CASTELMAURO,SCELTA EUROPEA,24,CAMPOBASSO
CASTELMAURO,ITALIA DEI VALORI,21,CAMPOBASSO
CASTELMAURO,L'ALTRA EUROPA CON TSIPRAS,14,CAMPOBASSO
CASTELMAURO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,9,CAMPOBASSO
CASTELMAURO,VERDI EUROPEI-GREEN ITALIA,8,CAMPOBASSO
CASTELMAURO,IO CAMBIO - MAIE,5,CAMPOBASSO
CASTROPIGNANO,PARTITO DEMOCRATICO,223,CAMPOBASSO
CASTROPIGNANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,136,CAMPOBASSO
CASTROPIGNANO,FORZA ITALIA,114,CAMPOBASSO
CASTROPIGNANO,L'ALTRA EUROPA CON TSIPRAS,20,CAMPOBASSO
CASTROPIGNANO,NUOVO CENTRO DESTRA - UDC,12,CAMPOBASSO
CASTROPIGNANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,7,CAMPOBASSO
CASTROPIGNANO,SCELTA EUROPEA,7,CAMPOBASSO
CASTROPIGNANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,7,CAMPOBASSO
CASTROPIGNANO,VERDI EUROPEI-GREEN ITALIA,6,CAMPOBASSO
CASTROPIGNANO,ITALIA DEI VALORI,2,CAMPOBASSO
CASTROPIGNANO,IO CAMBIO - MAIE,2,CAMPOBASSO
CERCEMAGGIORE,FORZA ITALIA,709,CAMPOBASSO
CERCEMAGGIORE,PARTITO DEMOCRATICO,647,CAMPOBASSO
CERCEMAGGIORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,535,CAMPOBASSO
CERCEMAGGIORE,NUOVO CENTRO DESTRA - UDC,99,CAMPOBASSO
CERCEMAGGIORE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,90,CAMPOBASSO
CERCEMAGGIORE,ITALIA DEI VALORI,56,CAMPOBASSO
CERCEMAGGIORE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,24,CAMPOBASSO
