Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGUGLIARO,1233,930,28,61,VICENZA
ALBETTONE,1800,1185,34,99,VICENZA
ALONTE,1318,929,34,73,VICENZA
ALTAVILLA VICENTINA,9058,6515,129,325,VICENZA
ALTISSIMO,1869,1357,52,111,VICENZA
ARCUGNANO,6520,4969,92,246,VICENZA
ARSIERO,2784,1922,75,180,VICENZA
ARZIGNANO,18088,13464,274,629,VICENZA
ASIAGO,5697,4278,146,333,VICENZA
ASIGLIANO VENETO,720,524,14,35,VICENZA
BARBARANO VICENTINO,3451,2494,72,129,VICENZA
BASSANO DEL GRAPPA,34495,23659,471,1101,VICENZA
BOLZANO VICENTINO,5222,3131,18,92,VICENZA
BREGANZE,7255,5163,116,262,VICENZA
BRENDOLA,5275,3245,28,96,VICENZA
BRESSANVIDO,2544,1842,54,129,VICENZA
BROGLIANO,3070,1823,15,79,VICENZA
CALDOGNO,9078,5517,42,182,VICENZA
CALTRANO,2265,1605,45,126,VICENZA
CALVENE,1145,813,36,59,VICENZA
CAMISANO VICENTINO,7910,5952,144,323,VICENZA
CAMPIGLIA DEI BERICI,1513,1162,38,70,VICENZA
CAMPOLONGO SUL BRENTA,736,489,15,38,VICENZA
CARRE',2893,2109,56,137,VICENZA
CARTIGLIANO,2977,2278,45,121,VICENZA
CASSOLA,11141,8438,147,398,VICENZA
CASTEGNERO,2343,1493,39,80,VICENZA
CASTELGOMBERTO,4872,2749,21,86,VICENZA
CHIAMPO,9177,5832,56,179,VICENZA
CHIUPPANO,2234,1487,39,89,VICENZA
CISMON DEL GRAPPA,1122,571,21,44,VICENZA
COGOLLO DEL CENGIO,2867,1622,16,54,VICENZA
CONCO,2260,1412,37,113,VICENZA
CORNEDO VICENTINO,9587,6894,117,332,VICENZA
COSTABISSARA,5716,3619,33,106,VICENZA
CREAZZO,8552,6247,111,307,VICENZA
CRESPADORO,1049,606,2,24,VICENZA
DUEVILLE,11424,8128,178,406,VICENZA
ENEGO,2213,874,6,24,VICENZA
FARA VICENTINO,3282,2491,53,133,VICENZA
FOZA,859,539,34,67,VICENZA
GALLIO,2182,1650,47,117,VICENZA
GAMBELLARA,2581,1514,17,53,VICENZA
GAMBUGLIANO,706,544,10,32,VICENZA
GRANCONA,1505,1207,36,76,VICENZA
GRISIGNANO DI ZOCCO,3298,2399,60,127,VICENZA
GRUMOLO DELLE ABBADESSE,2857,2112,65,125,VICENZA
ISOLA VICENTINA,7903,5631,119,291,VICENZA
LAGHI,147,94,11,18,VICENZA
LASTEBASSE,201,143,10,14,VICENZA
LONGARE,4684,3301,63,175,VICENZA
LONIGO,11420,6579,56,246,VICENZA
LUGO DI VICENZA,3011,2337,80,138,VICENZA
LUSIANA,2447,1614,47,105,VICENZA
MALO,11693,7066,72,258,VICENZA
MARANO VICENTINO,7647,4488,30,183,VICENZA
MAROSTICA,12347,7054,48,258,VICENZA
MASON VICENTINO,3308,2141,46,111,VICENZA
MOLVENA,2416,1521,23,67,VICENZA
MONTEBELLO VICENTINO,4982,3534,87,180,VICENZA
MONTECCHIO MAGGIORE,16912,12341,273,635,VICENZA
MONTECCHIO PRECALCINO,4146,3119,88,209,VICENZA
MONTE DI MALO,2468,1752,49,107,VICENZA
MONTEGALDA,2610,1617,11,58,VICENZA
MONTEGALDELLA,1490,1135,36,68,VICENZA
MONTEVIALE,2174,1320,5,42,VICENZA
MONTICELLO CONTE OTTO,7446,5559,118,273,VICENZA
MONTORSO VICENTINO,2376,1789,68,125,VICENZA
MOSSANO,1440,818,11,38,VICENZA
MUSSOLENTE,6251,4614,106,261,VICENZA
NANTO,2372,1491,20,69,VICENZA
