Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGLIANO TERME,1461,954,72,106,ASTI
ALBUGNANO,394,296,14,23,ASTI
ANTIGNANO,887,636,37,64,ASTI
ARAMENGO,521,347,19,29,ASTI
ASTI,58986,34424,459,1671,ASTI
AZZANO D'ASTI,340,256,4,8,ASTI
BALDICHIERI D'ASTI,795,544,29,58,ASTI
BELVEGLIO,269,193,10,18,ASTI
BERZANO DI SAN PIETRO,332,289,11,23,ASTI
BRUNO,351,245,17,23,ASTI
BUBBIO,754,574,44,95,ASTI
BUTTIGLIERA D'ASTI,2135,1534,49,107,ASTI
CALAMANDRANA,1434,1102,76,118,ASTI
CALLIANO,1173,832,68,99,ASTI
CALOSSO,1062,763,62,102,ASTI
CAMERANO CASASCO,366,287,16,29,ASTI
CANELLI,8037,5656,233,486,ASTI
CANTARANA,756,596,34,88,ASTI
CAPRIGLIO,226,172,1,9,ASTI
CASORZO,557,356,5,32,ASTI
CASSINASCO,504,351,19,42,ASTI
CASTAGNOLE DELLE LANZE,3025,2261,109,215,ASTI
CASTAGNOLE MONFERRATO,1053,550,8,47,ASTI
CASTEL BOGLIONE,508,360,34,58,ASTI
CASTELL'ALFERO,2302,1732,73,148,ASTI
CASTELLERO,289,212,9,17,ASTI
CASTELLETTO MOLINA,129,118,11,15,ASTI
CASTELLO DI ANNONE,1551,1077,43,105,ASTI
CASTELNUOVO BELBO,760,431,9,32,ASTI
CASTELNUOVO CALCEA,681,485,34,67,ASTI
CASTELNUOVO DON BOSCO,2643,1782,82,166,ASTI
CASTEL ROCCHERO,333,211,13,20,ASTI
CELLARENGO,596,435,14,40,ASTI
CELLE ENOMONDO,402,339,22,36,ASTI
CERRETO D'ASTI,181,108,1,10,ASTI
CERRO TANARO,634,401,11,26,ASTI
CESSOLE,370,259,26,50,ASTI
CHIUSANO D'ASTI,196,144,7,13,ASTI
CINAGLIO,366,265,14,27,ASTI
CISTERNA D'ASTI,955,829,52,95,ASTI
COAZZOLO,250,187,7,15,ASTI
COCCONATO,1195,918,45,81,ASTI
CORSIONE,157,142,15,24,ASTI
CORTANDONE,275,196,12,21,ASTI
CORTANZE,222,146,5,6,ASTI
CORTAZZONE,521,382,20,46,ASTI
CORTIGLIONE,489,363,23,39,ASTI
COSSOMBRATO,402,290,14,30,ASTI
COSTIGLIOLE D'ASTI,4841,3496,187,351,ASTI
CUNICO,397,303,15,24,ASTI
DUSINO SAN MICHELE,835,586,22,63,ASTI
FERRERE,1252,1016,61,113,ASTI
FONTANILE,471,381,27,52,ASTI
FRINCO,586,478,38,71,ASTI
GRANA,544,411,44,74,ASTI
GRAZZANO BADOGLIO,508,340,23,30,ASTI
INCISA SCAPACCINO,1825,1326,87,145,ASTI
ISOLA D'ASTI,1735,1288,75,135,ASTI
LOAZZOLO,320,221,23,39,ASTI
MARANZANA,240,186,19,35,ASTI
MARETTO,315,251,15,27,ASTI
MOASCA,404,342,19,32,ASTI
MOMBALDONE,200,165,15,24,ASTI
MOMBARUZZO,1031,654,49,85,ASTI
MOMBERCELLI,1970,1107,32,90,ASTI
MONALE,770,658,33,64,ASTI
MONASTERO BORMIDA,818,538,22,50,ASTI
MONCALVO,2522,1904,94,150,ASTI
MONCUCCO TORINESE,714,514,27,50,ASTI
MONGARDINO,820,622,39,66,ASTI
MONTABONE,301,251,21,34,ASTI
MONTAFIA,783,608,31,65,ASTI
MONTALDO SCARAMPI,616,498,41,69,ASTI
MONTECHIARO D'ASTI,1056,867,52,88,ASTI
MONTEGROSSO D'ASTI,1919,1175,25,72,ASTI
MONTEMAGNO,1040,639,39,58,ASTI
MONTIGLIO MONFERRATO,1428,835,20,43,ASTI
MORANSENGO,180,133,10,21,ASTI
NIZZA MONFERRATO,8065,4670,90,283,ASTI
OLMO GENTILE,105,40,3,4,ASTI
PASSERANO MARMORITO,374,284,17,31,ASTI
PENANGO,442,345,20,28,ASTI
PIEA,486,349,20,40,ASTI
PINO D'ASTI,167,145,9,15,ASTI
PIOVA' MASSAIA,514,311,3,17,ASTI
PORTACOMARO,1704,1260,53,93,ASTI
QUARANTI,165,112,1,5,ASTI
REFRANCORE,1395,965,35,87,ASTI
REVIGLIASCO D'ASTI,735,600,34,64,ASTI
ROATTO,327,228,9,17,ASTI
ROBELLA,539,320,16,26,ASTI
ROCCA D'ARAZZO,849,629,38,65,ASTI
ROCCAVERANO,549,312,31,56,ASTI
ROCCHETTA PALAFEA,314,221,30,41,ASTI
ROCCHETTA TANARO,1224,910,53,88,ASTI
SAN DAMIANO D'ASTI,6096,4605,272,542,ASTI
SAN GIORGIO SCARAMPI,116,75,13,18,ASTI
SAN MARTINO ALFIERI,572,444,19,39,ASTI
SAN MARZANO OLIVETO,980,689,37,65,ASTI
SAN PAOLO SOLBRITO,963,622,11,27,ASTI
SCURZOLENGO,472,284,7,13,ASTI
SEROLE,115,94,18,23,ASTI
