Ente,Liste/Gruppi,Voti,nomefile
DINAMI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,93,VIBO VALENTIA
DINAMI,L'ALTRA EUROPA CON TSIPRAS,41,VIBO VALENTIA
DINAMI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,13,VIBO VALENTIA
DINAMI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,3,VIBO VALENTIA
DINAMI,IO CAMBIO - MAIE,3,VIBO VALENTIA
DINAMI,ITALIA DEI VALORI,3,VIBO VALENTIA
DINAMI,VERDI EUROPEI-GREEN ITALIA,1,VIBO VALENTIA
DINAMI,SCELTA EUROPEA,0,VIBO VALENTIA
DRAPIA,PARTITO DEMOCRATICO,630,VIBO VALENTIA
DRAPIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,195,VIBO VALENTIA
DRAPIA,FORZA ITALIA,160,VIBO VALENTIA
DRAPIA,NUOVO CENTRO DESTRA - UDC,102,VIBO VALENTIA
DRAPIA,L'ALTRA EUROPA CON TSIPRAS,89,VIBO VALENTIA
DRAPIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,52,VIBO VALENTIA
DRAPIA,ITALIA DEI VALORI,18,VIBO VALENTIA
DRAPIA,SCELTA EUROPEA,16,VIBO VALENTIA
DRAPIA,VERDI EUROPEI-GREEN ITALIA,10,VIBO VALENTIA
DRAPIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,7,VIBO VALENTIA
DRAPIA,IO CAMBIO - MAIE,2,VIBO VALENTIA
FABRIZIA,NUOVO CENTRO DESTRA - UDC,249,VIBO VALENTIA
FABRIZIA,PARTITO DEMOCRATICO,202,VIBO VALENTIA
FABRIZIA,FORZA ITALIA,139,VIBO VALENTIA
FABRIZIA,L'ALTRA EUROPA CON TSIPRAS,76,VIBO VALENTIA
FABRIZIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,37,VIBO VALENTIA
FABRIZIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,31,VIBO VALENTIA
FABRIZIA,ITALIA DEI VALORI,4,VIBO VALENTIA
FABRIZIA,SCELTA EUROPEA,2,VIBO VALENTIA
FABRIZIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,VIBO VALENTIA
FABRIZIA,IO CAMBIO - MAIE,1,VIBO VALENTIA
FABRIZIA,VERDI EUROPEI-GREEN ITALIA,0,VIBO VALENTIA
FILADELFIA,PARTITO DEMOCRATICO,1127,VIBO VALENTIA
