Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALTINO,2523,1834,221,311,CHIETI
ARCHI,2630,1367,107,185,CHIETI
ARI,1626,805,140,210,CHIETI
ARIELLI,1139,705,44,91,CHIETI
ATESSA,10705,5879,265,677,CHIETI
BOMBA,833,586,54,74,CHIETI
BORRELLO,752,263,27,49,CHIETI
BUCCHIANICO,5075,3287,239,407,CHIETI
CANOSA SANNITA,1542,921,79,153,CHIETI
CARPINETO SINELLO,763,461,72,133,CHIETI
CARUNCHIO,854,365,36,70,CHIETI
CASACANDITELLA,1344,706,31,66,CHIETI
CASALANGUIDA,868,546,32,75,CHIETI
CASALBORDINO,5891,3244,118,315,CHIETI
CASALINCONTRADA,2978,2182,146,222,CHIETI
CASOLI,5246,2864,117,288,CHIETI
CASTEL FRENTANO,4173,2829,210,395,CHIETI
CASTELGUIDONE,399,210,22,29,CHIETI
CASTIGLIONE MESSER MARINO,2342,1189,113,184,CHIETI
CELENZA SUL TRIGNO,917,573,53,75,CHIETI
CHIETI,44492,28248,697,2169,CHIETI
CIVITALUPARELLA,448,257,20,30,CHIETI
CIVITELLA MESSER RAIMONDO,827,617,63,91,CHIETI
COLLEDIMACINE,369,127,2,5,CHIETI
COLLEDIMEZZO,745,373,47,65,CHIETI
CRECCHIO,2847,2132,205,317,CHIETI
CUPELLO,3965,3223,300,518,CHIETI
DOGLIOLA,357,236,11,36,CHIETI
FALLO,222,79,7,14,CHIETI
FARA FILIORUM PETRI,2004,1404,155,226,CHIETI
FARA SAN MARTINO,1415,869,44,91,CHIETI
FILETTO,1210,663,93,147,CHIETI
FOSSACESIA,5783,3998,244,422,CHIETI
FRAINE,563,221,12,18,CHIETI
FRANCAVILLA AL MARE,21320,12997,311,791,CHIETI
FRESAGRANDINARIA,1012,716,85,130,CHIETI
FRISA,1852,947,33,84,CHIETI
FURCI,1171,518,33,68,CHIETI
GAMBERALE,587,195,5,36,CHIETI
GESSOPALENA,1561,1015,89,135,CHIETI
GISSI,3083,1993,205,368,CHIETI
GIULIANO TEATINO,1481,766,50,90,CHIETI
GUARDIAGRELE,9117,4742,142,397,CHIETI
GUILMI,828,243,17,28,CHIETI
LAMA DEI PELIGNI,1102,716,18,61,CHIETI
LANCIANO,31800,18799,494,1796,CHIETI
LENTELLA,662,435,21,42,CHIETI
LETTOPALENA,468,211,10,19,CHIETI
LISCIA,933,521,91,147,CHIETI
MIGLIANICO,4545,3105,189,341,CHIETI
MONTAZZOLI,1758,686,90,184,CHIETI
MONTEBELLO SUL SANGRO,107,69,13,14,CHIETI
MONTEFERRANTE,182,109,10,17,CHIETI
MONTELAPIANO,116,73,9,11,CHIETI
MONTENERODOMO,1031,520,68,82,CHIETI
MONTEODORISIO,2277,1692,94,170,CHIETI
MOZZAGROGNA,2089,1639,126,223,CHIETI
ORSOGNA,4505,2367,174,317,CHIETI
ORTONA,21386,11585,295,798,CHIETI
PAGLIETA,3929,2666,195,382,CHIETI
PALENA,1413,709,18,55,CHIETI
PALMOLI,969,645,122,167,CHIETI
PALOMBARO,922,689,68,102,CHIETI
PENNADOMO,351,148,6,13,CHIETI
PENNAPIEDIMONTE,600,324,28,43,CHIETI
PERANO,1424,1185,142,215,CHIETI
PIETRAFERRAZZANA,127,81,7,12,CHIETI
PIZZOFERRATO,1363,550,23,50,CHIETI
POGGIOFIORITO,1052,574,51,73,CHIETI
POLLUTRI,2195,1659,165,231,CHIETI
PRETORO,1029,677,78,103,CHIETI
QUADRI,813,501,39,102,CHIETI
RAPINO,1428,984,122,149,CHIETI
RIPA TEATINA,3908,2205,108,256,CHIETI
ROCCAMONTEPIANO,2119,989,28,62,CHIETI
ROCCA SAN GIOVANNI,2421,1231,50,100,CHIETI
ROCCASCALEGNA,1342,668,31,66,CHIETI
ROCCASPINALVETI,1857,969,199,265,CHIETI
ROIO DEL SANGRO,228,58,3,4,CHIETI
ROSELLO,551,185,21,23,CHIETI
SAN BUONO,923,718,91,129,CHIETI
SAN GIOVANNI LIPIONI,220,142,25,29,CHIETI
SAN GIOVANNI TEATINO,10873,6855,140,444,CHIETI
SAN MARTINO SULLA MARRUCINA,849,486,23,71,CHIETI
SAN SALVO,15694,10196,434,1002,CHIETI
SANTA MARIA IMBARO,1553,1234,94,156,CHIETI
SANT'EUSANIO DEL SANGRO,2410,1307,76,161,CHIETI
SAN VITO CHIETINO,4748,2636,68,185,CHIETI
SCERNI,3328,1652,70,153,CHIETI
SCHIAVI DI ABRUZZO,910,581,115,145,CHIETI
TARANTA PELIGNA,405,287,25,44,CHIETI
TOLLO,3740,2407,106,221,CHIETI
TORINO DI SANGRO,2872,1583,47,143,CHIETI
TORNARECCIO,2182,1343,170,261,CHIETI
TORREBRUNA,903,681,105,158,CHIETI
TORREVECCHIA TEATINA,3592,2871,235,364,CHIETI
TORRICELLA PELIGNA,1540,723,20,40,CHIETI
TREGLIO,1363,1050,69,126,CHIETI
TUFILLO,437,251,13,21,CHIETI
VACRI,1813,1214,160,210,CHIETI
VASTO,34582,20379,595,1475,CHIETI
VILLALFONSINA,974,691,82,113,CHIETI
VILLAMAGNA,2508,1655,159,248,CHIETI
VILLA SANTA MARIA,1422,645,24,60,CHIETI
