Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACATE,6472,2360,43,141,RAGUSA
CHIARAMONTE GULFI,7316,2986,52,194,RAGUSA
COMISO,24934,9315,124,542,RAGUSA
GIARRATANA,3237,1199,23,76,RAGUSA
ISPICA,12746,6373,90,592,RAGUSA
MODICA,45148,19287,302,1708,RAGUSA
MONTEROSSO ALMO,2941,1189,22,70,RAGUSA
POZZALLO,16561,5680,77,414,RAGUSA
RAGUSA,60470,26120,205,1356,RAGUSA
SANTA CROCE CAMERINA,7517,2895,67,225,RAGUSA
SCICLI,21242,8317,101,814,RAGUSA
VITTORIA,47466,16852,256,1090,RAGUSA
