Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ARITZO,1176,469,4,10,NUORO
ATZARA,1063,461,6,24,NUORO
AUSTIS,731,211,2,4,NUORO
BELVI',569,301,4,15,NUORO
BIRORI,494,165,0,7,NUORO
BITTI,2537,727,4,17,NUORO
BOLOTANA,2421,809,3,21,NUORO
BORORE,1887,602,3,16,NUORO
BORTIGALI,1250,386,5,9,NUORO
DESULO,2069,718,4,15,NUORO
DORGALI,7074,3005,17,82,NUORO
DUALCHI,588,206,5,10,NUORO
FONNI,3346,897,8,33,NUORO
GADONI,789,220,4,10,NUORO
GALTELLI',2018,483,3,32,NUORO
GAVOI,2334,972,9,34,NUORO
IRGOLI,1937,470,3,16,NUORO
LEI,474,158,1,14,NUORO
LOCULI,418,75,0,2,NUORO
LODE',1582,449,6,20,NUORO
LODINE,310,146,1,6,NUORO
LULA,1259,417,3,15,NUORO
MACOMER,8792,3601,21,116,NUORO
MAMOIADA,2101,824,4,18,NUORO
MEANA SARDO,1590,815,6,28,NUORO
NORAGUGUME,275,88,0,2,NUORO
NUORO,31103,12076,45,295,NUORO
OLIENA,6056,1997,14,57,NUORO
OLLOLAI,1172,354,5,15,NUORO
OLZAI,769,319,4,14,NUORO
ONANI',334,213,10,15,NUORO
ONIFAI,652,110,2,5,NUORO
ONIFERI,763,223,1,9,NUORO
ORANI,2544,929,5,23,NUORO
ORGOSOLO,3526,1131,4,33,NUORO
OROSEI,5398,1572,19,76,NUORO
OROTELLI,1777,465,3,10,NUORO
ORTUERI,1065,385,6,21,NUORO
ORUNE,2084,390,1,10,NUORO
OSIDDA,196,43,0,1,NUORO
OTTANA,2006,370,1,15,NUORO
OVODDA,1345,424,4,20,NUORO
POSADA,2337,792,6,26,NUORO
SARULE,1437,476,9,21,NUORO
SILANUS,1909,618,4,23,NUORO
SINDIA,1655,410,3,9,NUORO
SINISCOLA,9294,2779,14,127,NUORO
SORGONO,1471,516,8,22,NUORO
TETI,608,236,2,3,NUORO
TIANA,452,201,4,12,NUORO
TONARA,1784,776,7,26,NUORO
TORPE',2380,580,8,25,NUORO
