Ente,Liste/Gruppi,Voti,nomefile
CASCIA,VERDI EUROPEI-GREEN ITALIA,8,PERUGIA
CASCIA,ITALIA DEI VALORI,5,PERUGIA
CASCIA,SCELTA EUROPEA,1,PERUGIA
CASCIA,IO CAMBIO - MAIE,1,PERUGIA
CASTEL RITALDI,PARTITO DEMOCRATICO,782,PERUGIA
CASTEL RITALDI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,385,PERUGIA
CASTEL RITALDI,FORZA ITALIA,320,PERUGIA
CASTEL RITALDI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,114,PERUGIA
CASTEL RITALDI,NUOVO CENTRO DESTRA - UDC,90,PERUGIA
CASTEL RITALDI,L'ALTRA EUROPA CON TSIPRAS,43,PERUGIA
CASTEL RITALDI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,34,PERUGIA
CASTEL RITALDI,VERDI EUROPEI-GREEN ITALIA,10,PERUGIA
CASTEL RITALDI,SCELTA EUROPEA,6,PERUGIA
CASTEL RITALDI,ITALIA DEI VALORI,6,PERUGIA
CASTEL RITALDI,IO CAMBIO - MAIE,4,PERUGIA
CASTIGLIONE DEL LAGO,PARTITO DEMOCRATICO,4801,PERUGIA
CASTIGLIONE DEL LAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1325,PERUGIA
CASTIGLIONE DEL LAGO,FORZA ITALIA,1021,PERUGIA
CASTIGLIONE DEL LAGO,L'ALTRA EUROPA CON TSIPRAS,351,PERUGIA
CASTIGLIONE DEL LAGO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,341,PERUGIA
CASTIGLIONE DEL LAGO,NUOVO CENTRO DESTRA - UDC,191,PERUGIA
CASTIGLIONE DEL LAGO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,175,PERUGIA
CASTIGLIONE DEL LAGO,VERDI EUROPEI-GREEN ITALIA,37,PERUGIA
CASTIGLIONE DEL LAGO,ITALIA DEI VALORI,28,PERUGIA
CASTIGLIONE DEL LAGO,SCELTA EUROPEA,17,PERUGIA
CASTIGLIONE DEL LAGO,IO CAMBIO - MAIE,10,PERUGIA
CERRETO DI SPOLETO,PARTITO DEMOCRATICO,294,PERUGIA
CERRETO DI SPOLETO,FORZA ITALIA,128,PERUGIA
CERRETO DI SPOLETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,90,PERUGIA
CERRETO DI SPOLETO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,20,PERUGIA
CERRETO DI SPOLETO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,19,PERUGIA
CERRETO DI SPOLETO,NUOVO CENTRO DESTRA - UDC,13,PERUGIA
CERRETO DI SPOLETO,IO CAMBIO - MAIE,5,PERUGIA
CERRETO DI SPOLETO,VERDI EUROPEI-GREEN ITALIA,5,PERUGIA
CERRETO DI SPOLETO,L'ALTRA EUROPA CON TSIPRAS,2,PERUGIA
CERRETO DI SPOLETO,ITALIA DEI VALORI,1,PERUGIA
CERRETO DI SPOLETO,SCELTA EUROPEA,0,PERUGIA
CITERNA,PARTITO DEMOCRATICO,1064,PERUGIA
CITERNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,317,PERUGIA
CITERNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,305,PERUGIA
CITERNA,FORZA ITALIA,185,PERUGIA
CITERNA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,67,PERUGIA
CITERNA,L'ALTRA EUROPA CON TSIPRAS,60,PERUGIA
CITERNA,NUOVO CENTRO DESTRA - UDC,39,PERUGIA
CITERNA,VERDI EUROPEI-GREEN ITALIA,21,PERUGIA
CITERNA,SCELTA EUROPEA,10,PERUGIA
CITERNA,ITALIA DEI VALORI,7,PERUGIA
CITERNA,IO CAMBIO - MAIE,5,PERUGIA
CITTA' DELLA PIEVE,PARTITO DEMOCRATICO,2661,PERUGIA
CITTA' DELLA PIEVE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,714,PERUGIA
CITTA' DELLA PIEVE,FORZA ITALIA,426,PERUGIA
CITTA' DELLA PIEVE,L'ALTRA EUROPA CON TSIPRAS,230,PERUGIA
CITTA' DELLA PIEVE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,154,PERUGIA
CITTA' DELLA PIEVE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,116,PERUGIA
CITTA' DELLA PIEVE,NUOVO CENTRO DESTRA - UDC,73,PERUGIA
CITTA' DELLA PIEVE,VERDI EUROPEI-GREEN ITALIA,42,PERUGIA
CITTA' DELLA PIEVE,ITALIA DEI VALORI,22,PERUGIA
CITTA' DELLA PIEVE,SCELTA EUROPEA,8,PERUGIA
CITTA' DELLA PIEVE,IO CAMBIO - MAIE,6,PERUGIA
CITTA' DI CASTELLO,PARTITO DEMOCRATICO,10909,PERUGIA
CITTA' DI CASTELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3579,PERUGIA
CITTA' DI CASTELLO,FORZA ITALIA,2296,PERUGIA
CITTA' DI CASTELLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,829,PERUGIA
CITTA' DI CASTELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,796,PERUGIA
CITTA' DI CASTELLO,L'ALTRA EUROPA CON TSIPRAS,562,PERUGIA
CITTA' DI CASTELLO,NUOVO CENTRO DESTRA - UDC,431,PERUGIA
CITTA' DI CASTELLO,SCELTA EUROPEA,122,PERUGIA
CITTA' DI CASTELLO,VERDI EUROPEI-GREEN ITALIA,107,PERUGIA
CITTA' DI CASTELLO,ITALIA DEI VALORI,75,PERUGIA
CITTA' DI CASTELLO,IO CAMBIO - MAIE,15,PERUGIA
COLLAZZONE,PARTITO DEMOCRATICO,785,PERUGIA
COLLAZZONE,FORZA ITALIA,415,PERUGIA
COLLAZZONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,396,PERUGIA
COLLAZZONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,131,PERUGIA
COLLAZZONE,NUOVO CENTRO DESTRA - UDC,68,PERUGIA
COLLAZZONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,62,PERUGIA
COLLAZZONE,L'ALTRA EUROPA CON TSIPRAS,46,PERUGIA
COLLAZZONE,VERDI EUROPEI-GREEN ITALIA,16,PERUGIA
COLLAZZONE,SCELTA EUROPEA,8,PERUGIA
COLLAZZONE,ITALIA DEI VALORI,6,PERUGIA
COLLAZZONE,IO CAMBIO - MAIE,2,PERUGIA
CORCIANO,PARTITO DEMOCRATICO,4950,PERUGIA
CORCIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1862,PERUGIA
CORCIANO,FORZA ITALIA,1059,PERUGIA
CORCIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,446,PERUGIA
CORCIANO,L'ALTRA EUROPA CON TSIPRAS,405,PERUGIA
CORCIANO,NUOVO CENTRO DESTRA - UDC,288,PERUGIA
CORCIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,242,PERUGIA
CORCIANO,VERDI EUROPEI-GREEN ITALIA,55,PERUGIA
CORCIANO,SCELTA EUROPEA,44,PERUGIA
CORCIANO,ITALIA DEI VALORI,32,PERUGIA
CORCIANO,IO CAMBIO - MAIE,10,PERUGIA
COSTACCIARO,PARTITO DEMOCRATICO,346,PERUGIA
COSTACCIARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,186,PERUGIA
COSTACCIARO,FORZA ITALIA,118,PERUGIA
COSTACCIARO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,35,PERUGIA
COSTACCIARO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,25,PERUGIA
COSTACCIARO,NUOVO CENTRO DESTRA - UDC,18,PERUGIA
COSTACCIARO,L'ALTRA EUROPA CON TSIPRAS,11,PERUGIA
COSTACCIARO,VERDI EUROPEI-GREEN ITALIA,8,PERUGIA
COSTACCIARO,SCELTA EUROPEA,6,PERUGIA
COSTACCIARO,ITALIA DEI VALORI,6,PERUGIA
COSTACCIARO,IO CAMBIO - MAIE,2,PERUGIA
DERUTA,PARTITO DEMOCRATICO,2021,PERUGIA
DERUTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,997,PERUGIA
DERUTA,FORZA ITALIA,781,PERUGIA
DERUTA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,222,PERUGIA
DERUTA,NUOVO CENTRO DESTRA - UDC,128,PERUGIA
DERUTA,L'ALTRA EUROPA CON TSIPRAS,81,PERUGIA
DERUTA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,76,PERUGIA
DERUTA,SCELTA EUROPEA,24,PERUGIA
DERUTA,VERDI EUROPEI-GREEN ITALIA,20,PERUGIA
DERUTA,ITALIA DEI VALORI,13,PERUGIA
DERUTA,IO CAMBIO - MAIE,6,PERUGIA
FOLIGNO,PARTITO DEMOCRATICO,13544,PERUGIA
FOLIGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,6184,PERUGIA
FOLIGNO,FORZA ITALIA,4439,PERUGIA
FOLIGNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,1719,PERUGIA
FOLIGNO,L'ALTRA EUROPA CON TSIPRAS,1535,PERUGIA
FOLIGNO,NUOVO CENTRO DESTRA - UDC,1151,PERUGIA
FOLIGNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,759,PERUGIA
FOLIGNO,VERDI EUROPEI-GREEN ITALIA,206,PERUGIA
FOLIGNO,ITALIA DEI VALORI,135,PERUGIA
FOLIGNO,SCELTA EUROPEA,96,PERUGIA
FOLIGNO,IO CAMBIO - MAIE,46,PERUGIA
FOSSATO DI VICO,PARTITO DEMOCRATICO,711,PERUGIA
FOSSATO DI VICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,325,PERUGIA
FOSSATO DI VICO,FORZA ITALIA,247,PERUGIA
FOSSATO DI VICO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,80,PERUGIA
FOSSATO DI VICO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,60,PERUGIA
FOSSATO DI VICO,NUOVO CENTRO DESTRA - UDC,47,PERUGIA
FOSSATO DI VICO,L'ALTRA EUROPA CON TSIPRAS,27,PERUGIA
FOSSATO DI VICO,VERDI EUROPEI-GREEN ITALIA,6,PERUGIA
FOSSATO DI VICO,ITALIA DEI VALORI,6,PERUGIA
FOSSATO DI VICO,IO CAMBIO - MAIE,5,PERUGIA
FOSSATO DI VICO,SCELTA EUROPEA,1,PERUGIA
FRATTA TODINA,PARTITO DEMOCRATICO,615,PERUGIA
FRATTA TODINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,178,PERUGIA
FRATTA TODINA,FORZA ITALIA,156,PERUGIA
FRATTA TODINA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,77,PERUGIA
FRATTA TODINA,NUOVO CENTRO DESTRA - UDC,57,PERUGIA
FRATTA TODINA,L'ALTRA EUROPA CON TSIPRAS,24,PERUGIA
FRATTA TODINA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,13,PERUGIA
FRATTA TODINA,SCELTA EUROPEA,8,PERUGIA
FRATTA TODINA,ITALIA DEI VALORI,8,PERUGIA
FRATTA TODINA,VERDI EUROPEI-GREEN ITALIA,7,PERUGIA
FRATTA TODINA,IO CAMBIO - MAIE,4,PERUGIA
GIANO DELL'UMBRIA,PARTITO DEMOCRATICO,890,PERUGIA
GIANO DELL'UMBRIA,FORZA ITALIA,440,PERUGIA
GIANO DELL'UMBRIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,337,PERUGIA
GIANO DELL'UMBRIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,136,PERUGIA
GIANO DELL'UMBRIA,NUOVO CENTRO DESTRA - UDC,95,PERUGIA
GIANO DELL'UMBRIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,64,PERUGIA
GIANO DELL'UMBRIA,L'ALTRA EUROPA CON TSIPRAS,31,PERUGIA
GIANO DELL'UMBRIA,VERDI EUROPEI-GREEN ITALIA,10,PERUGIA
GIANO DELL'UMBRIA,ITALIA DEI VALORI,9,PERUGIA
GIANO DELL'UMBRIA,SCELTA EUROPEA,7,PERUGIA
GIANO DELL'UMBRIA,IO CAMBIO - MAIE,3,PERUGIA
