Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
APRILIA,53359,28366,164,1022,LATINA
BASSIANO,1364,722,14,43,LATINA
CAMPODIMELE,798,381,3,11,LATINA
CASTELFORTE,4019,2374,33,147,LATINA
CISTERNA DI LATINA,27842,22180,931,1974,LATINA
CORI,8531,4878,35,204,LATINA
FONDI,31108,17114,151,1039,LATINA
FORMIA,32378,15781,165,657,LATINA
GAETA,18767,9026,71,317,LATINA
ITRI,8940,4820,60,264,LATINA
LATINA,103144,57136,345,2571,LATINA
LENOLA,3754,1966,34,122,LATINA
MAENZA,2516,2126,133,249,LATINA
MINTURNO,19106,8956,76,390,LATINA
MONTE SAN BIAGIO,5217,4335,251,468,LATINA
NORMA,3224,1898,21,105,LATINA
PONTINIA,11198,6032,51,355,LATINA
PONZA,3450,927,9,36,LATINA
PRIVERNO,11422,5787,64,362,LATINA
PROSSEDI,1198,899,62,118,LATINA
ROCCAGORGA,3683,3117,170,317,LATINA
ROCCA MASSIMA,955,830,55,86,LATINA
ROCCASECCA DEI VOLSCI,946,639,5,36,LATINA
SABAUDIA,15262,7571,51,292,LATINA
SAN FELICE CIRCEO,7680,3466,19,160,LATINA
SANTI COSMA E DAMIANO,5937,3460,51,186,LATINA
SERMONETA,7621,6037,222,507,LATINA
SEZZE,18418,8636,87,468,LATINA
SONNINO,6054,3086,41,198,LATINA
SPERLONGA,3027,2119,28,118,LATINA
SPIGNO SATURNIA,2925,2013,88,215,LATINA
TERRACINA,36250,18100,114,757,LATINA
VENTOTENE,620,336,1,5,LATINA
