Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUAVIVA COLLECROCE,925,486,54,90,CAMPOBASSO
BARANELLO,2723,927,17,57,CAMPOBASSO
BOJANO,7879,2741,34,143,CAMPOBASSO
BONEFRO,1844,505,11,35,CAMPOBASSO
BUSSO,1322,435,6,24,CAMPOBASSO
CAMPOBASSO,42911,31835,1705,3398,CAMPOBASSO
CAMPOCHIARO,662,233,4,17,CAMPOBASSO
CAMPODIPIETRA,2344,1685,149,229,CAMPOBASSO
CAMPOLIETO,1047,292,11,23,CAMPOBASSO
CAMPOMARINO,6112,4633,252,444,CAMPOBASSO
CASACALENDA,2901,1462,158,299,CAMPOBASSO
CASALCIPRANO,834,171,11,22,CAMPOBASSO
CASTELBOTTACCIO,723,134,2,6,CAMPOBASSO
CASTELLINO DEL BIFERNO,856,213,5,9,CAMPOBASSO
CASTELMAURO,1741,957,139,178,CAMPOBASSO
CASTROPIGNANO,1219,650,63,114,CAMPOBASSO
CERCEMAGGIORE,4030,2718,363,505,CAMPOBASSO
CERCEPICCOLA,817,234,5,12,CAMPOBASSO
CIVITACAMPOMARANO,493,120,1,6,CAMPOBASSO
COLLE D'ANCHISE,848,580,75,108,CAMPOBASSO
COLLETORTO,1937,930,16,72,CAMPOBASSO
DURONIA,1003,168,5,12,CAMPOBASSO
FERRAZZANO,2894,2180,123,211,CAMPOBASSO
FOSSALTO,1620,1014,115,183,CAMPOBASSO
GAMBATESA,1744,1071,152,205,CAMPOBASSO
GILDONE,1492,588,72,113,CAMPOBASSO
GUARDIALFIERA,1022,378,10,40,CAMPOBASSO
GUARDIAREGIA,991,336,11,21,CAMPOBASSO
GUGLIONESI,5035,1979,23,101,CAMPOBASSO
JELSI,2837,595,11,31,CAMPOBASSO
LARINO,6308,2296,34,161,CAMPOBASSO
LIMOSANO,1123,302,11,23,CAMPOBASSO
LUCITO,827,497,73,100,CAMPOBASSO
LUPARA,598,187,7,19,CAMPOBASSO
MACCHIA VALFORTORE,822,241,8,18,CAMPOBASSO
MAFALDA,1568,863,92,121,CAMPOBASSO
MATRICE,1316,374,10,33,CAMPOBASSO
MIRABELLO SANNITICO,2226,1518,132,203,CAMPOBASSO
MOLISE,168,59,0,1,CAMPOBASSO
MONACILIONI,815,367,56,73,CAMPOBASSO
MONTAGANO,1197,812,51,89,CAMPOBASSO
MONTECILFONE,1610,994,101,160,CAMPOBASSO
MONTEFALCONE NEL SANNIO,1648,715,16,38,CAMPOBASSO
MONTELONGO,541,202,12,25,CAMPOBASSO
MONTEMITRO,454,186,5,7,CAMPOBASSO
MONTENERO DI BISACCIA,5952,2739,45,170,CAMPOBASSO
MONTORIO NEI FRENTANI,858,195,2,13,CAMPOBASSO
MORRONE DEL SANNIO,930,164,5,19,CAMPOBASSO
ORATINO,1574,700,5,34,CAMPOBASSO
PALATA,1950,1279,100,172,CAMPOBASSO
PETACCIATO,3318,1335,17,61,CAMPOBASSO
PETRELLA TIFERNINA,1405,891,135,173,CAMPOBASSO
PIETRACATELLA,1572,473,11,31,CAMPOBASSO
PIETRACUPA,295,97,3,9,CAMPOBASSO
PORTOCANNONE,2190,994,21,74,CAMPOBASSO
PROVVIDENTI,217,55,3,7,CAMPOBASSO
RICCIA,5345,3470,498,728,CAMPOBASSO
RIPABOTTONI,820,196,4,7,CAMPOBASSO
RIPALIMOSANI,3292,2022,153,240,CAMPOBASSO
ROCCAVIVARA,958,341,6,20,CAMPOBASSO
ROTELLO,1285,847,74,121,CAMPOBASSO
SALCITO,640,273,11,36,CAMPOBASSO
SAN BIASE,239,81,3,8,CAMPOBASSO
SAN FELICE DEL MOLISE,794,294,14,31,CAMPOBASSO
SAN GIACOMO DEGLI SCHIAVONI,1182,607,8,23,CAMPOBASSO
SAN GIOVANNI IN GALDO,733,399,60,90,CAMPOBASSO
SAN GIULIANO DEL SANNIO,1095,337,15,32,CAMPOBASSO
SAN GIULIANO DI PUGLIA,1015,648,43,94,CAMPOBASSO
SAN MARTINO IN PENSILIS,4270,3256,257,420,CAMPOBASSO
SAN MASSIMO,866,362,3,17,CAMPOBASSO
SAN POLO MATESE,615,221,3,10,CAMPOBASSO
SANTA CROCE DI MAGLIANO,4065,3010,170,370,CAMPOBASSO
SANT'ANGELO LIMOSANO,520,273,34,56,CAMPOBASSO
SANT'ELIA A PIANISI,2327,1275,162,243,CAMPOBASSO
SEPINO,1862,345,8,27,CAMPOBASSO
SPINETE,1473,887,197,232,CAMPOBASSO
TAVENNA,939,575,56,92,CAMPOBASSO
TERMOLI,27554,20378,917,1875,CAMPOBASSO
TORELLA DEL SANNIO,1060,286,5,26,CAMPOBASSO
TORO,1414,456,13,34,CAMPOBASSO
TRIVENTO,4370,3126,314,495,CAMPOBASSO
TUFARA,1164,729,109,163,CAMPOBASSO
URURI,2634,974,14,50,CAMPOBASSO
VINCHIATURO,3238,1199,17,63,CAMPOBASSO
