Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AULLA,9519,7104,224,453,MASSA-CARRARA
BAGNONE,1733,1258,61,98,MASSA-CARRARA
CARRARA,53531,27401,136,783,MASSA-CARRARA
CASOLA IN LUNIGIANA,955,688,36,59,MASSA-CARRARA
COMANO,889,515,45,75,MASSA-CARRARA
FILATTIERA,2221,1580,68,119,MASSA-CARRARA
FIVIZZANO,7775,5459,215,441,MASSA-CARRARA
FOSDINOVO,4062,2650,49,123,MASSA-CARRARA
LICCIANA NARDI,4276,2311,20,96,MASSA-CARRARA
MASSA,57262,30616,101,805,MASSA-CARRARA
MONTIGNOSO,8459,4412,28,135,MASSA-CARRARA
MULAZZO,2541,1257,8,47,MASSA-CARRARA
PODENZANA,1854,1452,61,112,MASSA-CARRARA
PONTREMOLI,7385,3772,51,169,MASSA-CARRARA
TRESANA,1889,1411,60,111,MASSA-CARRARA
VILLAFRANCA IN LUNIGIANA,4054,2372,23,99,MASSA-CARRARA
ZERI,1502,517,2,17,MASSA-CARRARA
