Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALGHERO,37267,24912,979,1956,SASSARI
ANELA,598,250,2,6,SASSARI
ARDARA,631,189,3,12,SASSARI
BANARI,585,193,1,8,SASSARI
BENETUTTI,1703,498,7,22,SASSARI
BESSUDE,399,129,1,3,SASSARI
BONNANARO,867,281,0,1,SASSARI
BONO,3044,1018,7,19,SASSARI
BONORVA,3210,1057,13,54,SASSARI
BORUTTA,254,93,0,4,SASSARI
BOTTIDDA,635,256,2,15,SASSARI
BULTEI,893,303,4,13,SASSARI
BULZI,502,196,2,11,SASSARI
BURGOS,854,304,1,14,SASSARI
CARGEGHE,533,206,5,15,SASSARI
CASTELSARDO,4940,3542,259,445,SASSARI
CHEREMULE,404,120,2,8,SASSARI
CHIARAMONTI,1487,385,5,16,SASSARI
CODRONGIANOS,1182,462,2,18,SASSARI
COSSOINE,842,246,3,10,SASSARI
ERULA,671,186,2,10,SASSARI
ESPORLATU,387,140,1,11,SASSARI
FLORINAS,1310,613,5,29,SASSARI
GIAVE,507,147,1,4,SASSARI
ILLORAI,874,417,28,71,SASSARI
ITTIREDDU,498,178,4,8,SASSARI
ITTIRI,7455,3123,19,101,SASSARI
LAERRU,809,281,1,15,SASSARI
MARA,635,168,0,2,SASSARI
MARTIS,478,131,1,3,SASSARI
MONTELEONE ROCCA DORIA,103,26,0,2,SASSARI
MORES,1674,481,2,11,SASSARI
MUROS,691,296,1,4,SASSARI
NUGHEDU SAN NICOLO',742,214,4,4,SASSARI
NULE,1229,370,7,23,SASSARI
NULVI,2442,696,3,24,SASSARI
OLMEDO,3372,1170,9,41,SASSARI
OSILO,2717,1169,10,47,SASSARI
OSSI,4912,1965,15,70,SASSARI
OZIERI,9165,3172,27,104,SASSARI
PADRIA,629,191,3,6,SASSARI
PATTADA,2737,842,11,29,SASSARI
PERFUGAS,2075,705,6,32,SASSARI
PLOAGHE,3927,1417,16,50,SASSARI
PORTO TORRES,18757,7279,44,280,SASSARI
POZZOMAGGIORE,2497,749,4,23,SASSARI
PUTIFIGARI,607,321,5,21,SASSARI
ROMANA,473,160,5,8,SASSARI
SANTA MARIA COGHINAS,1251,367,4,18,SASSARI
SASSARI,107006,69803,2237,4824,SASSARI
SEDINI,1254,365,3,15,SASSARI
SEMESTENE,150,38,0,1,SASSARI
SENNORI,6223,2332,29,148,SASSARI
SILIGO,813,257,4,15,SASSARI
SORSO,12169,8260,456,859,SASSARI
STINTINO,1398,544,5,24,SASSARI
TERGU,496,201,1,6,SASSARI
THIESI,2543,825,18,18,SASSARI
TISSI,1936,837,9,24,SASSARI
TORRALBA,838,294,3,9,SASSARI
TULA,1410,557,5,19,SASSARI
URI,2541,982,28,32,SASSARI
USINI,3572,1285,15,47,SASSARI
VALLEDORIA,3569,1256,9,61,SASSARI
VIDDALBA,1451,507,3,16,SASSARI
VILLANOVA MONTELEONE,2047,807,4,45,SASSARI
