Ente,Liste/Gruppi,Voti,nomefile
CASTIGLIONE D'ORCIA,L'ALTRA EUROPA CON TSIPRAS,43,SIENA
CASTIGLIONE D'ORCIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,34,SIENA
CASTIGLIONE D'ORCIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,24,SIENA
CASTIGLIONE D'ORCIA,NUOVO CENTRO DESTRA - UDC,17,SIENA
CASTIGLIONE D'ORCIA,VERDI EUROPEI-GREEN ITALIA,13,SIENA
CASTIGLIONE D'ORCIA,IO CAMBIO - MAIE,5,SIENA
CASTIGLIONE D'ORCIA,ITALIA DEI VALORI,5,SIENA
CASTIGLIONE D'ORCIA,SCELTA EUROPEA,3,SIENA
CETONA,PARTITO DEMOCRATICO,1037,SIENA
CETONA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,174,SIENA
CETONA,FORZA ITALIA,155,SIENA
CETONA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,56,SIENA
CETONA,L'ALTRA EUROPA CON TSIPRAS,49,SIENA
CETONA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,43,SIENA
CETONA,NUOVO CENTRO DESTRA - UDC,34,SIENA
CETONA,VERDI EUROPEI-GREEN ITALIA,15,SIENA
CETONA,SCELTA EUROPEA,5,SIENA
CETONA,ITALIA DEI VALORI,5,SIENA
CETONA,IO CAMBIO - MAIE,4,SIENA
CHIANCIANO TERME,PARTITO DEMOCRATICO,2118,SIENA
CHIANCIANO TERME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,754,SIENA
CHIANCIANO TERME,FORZA ITALIA,479,SIENA
CHIANCIANO TERME,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,151,SIENA
CHIANCIANO TERME,L'ALTRA EUROPA CON TSIPRAS,147,SIENA
CHIANCIANO TERME,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,80,SIENA
CHIANCIANO TERME,NUOVO CENTRO DESTRA - UDC,67,SIENA
CHIANCIANO TERME,VERDI EUROPEI-GREEN ITALIA,40,SIENA
CHIANCIANO TERME,SCELTA EUROPEA,17,SIENA
CHIANCIANO TERME,ITALIA DEI VALORI,15,SIENA
CHIANCIANO TERME,IO CAMBIO - MAIE,11,SIENA
CHIUSDINO,PARTITO DEMOCRATICO,650,SIENA
CHIUSDINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,126,SIENA
