Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ROSASCO,648,387,24,38,PAVIA
ROVESCALA,727,454,7,23,PAVIA
RUINO,670,553,32,42,PAVIA
SAN CIPRIANO PO,365,237,5,18,PAVIA
SAN DAMIANO AL COLLE,636,374,5,17,PAVIA
SAN GENESIO ED UNITI,3187,2169,21,97,PAVIA
SAN GIORGIO DI LOMELLINA,1032,733,27,63,PAVIA
SAN MARTINO SICCOMARIO,4737,3416,53,184,PAVIA
SANNAZZARO DE' BURGONDI,4397,2677,21,124,PAVIA
SANTA CRISTINA E BISSONE,1538,1102,20,65,PAVIA
SANTA GIULETTA,1337,985,32,72,PAVIA
SANT'ALESSIO CON VIALONE,710,532,16,39,PAVIA
SANTA MARGHERITA DI STAFFORA,450,369,31,39,PAVIA
SANTA MARIA DELLA VERSA,1976,1492,49,107,PAVIA
SANT'ANGELO LOMELLINA,714,372,3,20,PAVIA
SAN ZENONE AL PO,448,340,8,18,PAVIA
SARTIRANA LOMELLINA,1690,1134,54,93,PAVIA
SCALDASOLE,793,640,27,50,PAVIA
SEMIANA,232,146,6,17,PAVIA
SILVANO PIETRA,549,427,32,63,PAVIA
SIZIANO,4468,3377,67,191,PAVIA
SOMMO,943,622,9,25,PAVIA
SPESSA,471,393,11,24,PAVIA
STRADELLA,9218,6816,195,401,PAVIA
SUARDI,549,280,1,11,PAVIA
TORRAZZA COSTE,1476,1165,30,67,PAVIA
TORRE BERETTI E CASTELLARO,463,315,12,34,PAVIA
TORRE D'ARESE,689,543,6,30,PAVIA
TORRE DE' NEGRI,286,210,2,16,PAVIA
TORRE D'ISOLA,1908,1532,30,78,PAVIA
TORREVECCHIA PIA,2642,1512,9,56,PAVIA
TORRICELLA VERZATE,735,472,5,14,PAVIA
TRAVACO' SICCOMARIO,3615,2858,44,150,PAVIA
TRIVOLZIO,1635,1023,5,39,PAVIA
TROMELLO,3122,2118,58,163,PAVIA
TROVO,775,648,18,28,PAVIA
VAL DI NIZZA,625,339,1,10,PAVIA
VALEGGIO,232,148,19,24,PAVIA
VALLE LOMELLINA,1789,925,11,45,PAVIA
VALLE SALIMBENE,1224,978,24,65,PAVIA
VALVERDE,301,218,11,17,PAVIA
VARZI,2932,2204,110,196,PAVIA
VELEZZO LOMELLINA,102,72,3,4,PAVIA
VELLEZZO BELLINI,2354,1485,10,38,PAVIA
VERRETTO,350,267,9,16,PAVIA
VERRUA PO,1161,600,3,17,PAVIA
VIDIGULFO,4651,3478,103,232,PAVIA
VIGEVANO,47726,27450,197,967,PAVIA
VILLA BISCOSSI,64,59,7,8,PAVIA
VILLANOVA D'ARDENGHI,676,553,15,29,PAVIA
VILLANTERIO,2377,1783,47,115,PAVIA
VISTARINO,1180,808,21,59,PAVIA
VOGHERA,31663,19053,156,670,PAVIA
VOLPARA,142,96,1,11,PAVIA
ZAVATTARELLO,956,705,52,94,PAVIA
ZECCONE,1345,1094,22,62,PAVIA
ZEME,992,673,20,48,PAVIA
ZENEVREDO,395,257,3,10,PAVIA
ZERBO,363,328,16,31,PAVIA
ZERBOLO',1388,1074,11,45,PAVIA
ZINASCO,2702,1932,60,148,PAVIA
